notice,url,stack,company,information.Position,information.Employment Type,information.Experiences,information.Company Size,information.Principal Services,information.Period,information.Work Location,information.Salary
Back-end 엔지니어 (Senior),https://programmers.co.kr/job_positions/7738,"['ExpressJS', 'REST API', 'Node.js', 'NestJS', 'MySQL', 'PHP']",마미톡,서버/백엔드,Full-time,5 ~ 10years,26,마미톡,Without deadline,서울 강남구 봉은사로86길6 6층 마미톡,
Front-end Engineer_신규서비스(er.op.gg 등),https://programmers.co.kr/job_positions/7709,"['Next.js', 'TypeScript', 'ReactJS', 'Node.js', 'HTML', 'CSS', 'JavaScript']",오피지지(OP.GG),프론트엔드,Full-time,3 ~ 10years,65,op.gg,Without deadline,서울특별시 강남구 대치4동 삼성로85길 35-6,
Front-end Developer_신규서비스(DUO.LOL 등),https://programmers.co.kr/job_positions/5706,"['JavaScript', 'CSS', 'HTML']",오피지지(OP.GG),프론트엔드,Full-time,5 ~ 10years,65,op.gg,Without deadline,서울특별시 강남구 대치4동 삼성로85길 35-6,
웹 개발자,https://programmers.co.kr/job_positions/7661,"['JavaScript', 'ReactJS', 'HTML']",쓰리덕스,"서버/백엔드, 프론트엔드, 웹 풀스택",Full-time,All Backgrounds Welcome,6,스타리 / 비퍼,Without deadline,"서울 강남구 압구정로8길 10, (신사동)",3000 ~ 7000 만원
커머스셀 Back-end 엔지니어 (Senior),https://programmers.co.kr/job_positions/7708,"['ExpressJS', 'REST API', 'Node.js', 'NestJS', 'MySQL', 'PHP']",마미톡,서버/백엔드,Full-time,5 ~ 10years,26,마미톡,Without deadline,서울 강남구 봉은사로86길6 6층 마미톡,
Front-end 엔지니어 (Senior),https://programmers.co.kr/job_positions/6180,"['JavaScript', 'React Native', 'ReactJS']",마미톡,"프론트엔드, 웹 풀스택",Full-time,5 ~ 10years,26,마미톡,Without deadline,서울 강남구 봉은사로86길6 6층 마미톡,
서버 개발자,https://programmers.co.kr/job_positions/6295,"['Elasticsearch', 'MySQL', 'R', 'AWS Redshift', 'Python']",아티언스,"서버/백엔드, 웹 풀스택, 데이터 엔지니어",Full-time,3 ~ 5years,89,,Without deadline,"서울 마포구 양화로 45, (서교동, 메세나폴리스)",
DBA,https://programmers.co.kr/job_positions/6682,['MySQL'],매스프레소,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어",Full-time,8 ~ 20years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
DevOps Engineer,https://programmers.co.kr/job_positions/6681,['Kubernetes'],매스프레소,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어",Full-time,8 ~ 20years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
Frontend Developer,https://programmers.co.kr/job_positions/4244,"['AngularJS', 'ReactJS', 'Vue.js', 'CSS', 'HTML', 'JavaScript']",매스프레소,프론트엔드,Full-time,5 ~ 10years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
[AI Lab] Backend Engineer,https://programmers.co.kr/job_positions/5773,"['Java', 'Go', 'Python']",매스프레소,"서버/백엔드, 머신러닝, 인공지능(AI)",Full-time,5 ~ 15years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
QA Manager,https://programmers.co.kr/job_positions/4246,[],매스프레소,QA,Full-time,0 ~ 4years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
Data Analyst,https://programmers.co.kr/job_positions/4241,"['Apache Spark', 'Google Analytics', 'Firebase', 'R', 'Pandas', 'Python', 'Google BigQuery', 'AWS Redshift', 'MySQL', 'SQL']",매스프레소,데이터 엔지니어,Full-time,3 ~ 10years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
Android Developer,https://programmers.co.kr/job_positions/4240,"['Kotlin', 'Jetpack', 'Dagger2', 'RxJava', 'RxAndroid', 'Retrofit']",매스프레소,안드로이드 앱,Full-time,3 ~ 10years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
Data Engineer,https://programmers.co.kr/job_positions/4242,"['Python', 'Firebase', 'Google Analytics', 'Luigi', 'Apache Airflow']",매스프레소,데이터 엔지니어,Full-time,1 ~ 10years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
iOS Developer,https://programmers.co.kr/job_positions/4245,"['CocoaPods', 'Swift']",매스프레소,아이폰 앱,Full-time,3 ~ 10years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
Backend Developer,https://programmers.co.kr/job_positions/4239,"['Microservice Architecture', 'Kubernetes', 'Kotlin', 'Ruby', 'Go', 'Python', 'Spring', 'Java']",매스프레소,서버/백엔드,Full-time,3 ~ 10years,168,콴다,Without deadline,"서울 강남구 선릉로 428, 17층 (대치동, 위워크)",
iOS 앱 개발자,https://programmers.co.kr/job_positions/5992,"['RxSwift', 'iOS', 'Swift']",그립컴퍼니,"프론트엔드, 아이폰 앱",Full-time,2 ~ 7years,48,"소프트웨어 개발, 라이브커머스, 전자상거래",from 2021-10-05 10:51 to 2021-10-31 02:24,"서울 강남구 논현로153길 53, (신사동)",
서비스 빅데이터 엔지니어 (전문연구요원 가능),https://programmers.co.kr/job_positions/5928,"['GCP(Google Cloud Platform)', 'JavaScript', 'Linux', 'MongoDB', 'Elasticsearch', 'Docker', 'Python']",버즈니,"서버/백엔드, 웹 풀스택, 데이터 엔지니어",Full-time,3 ~ 10years,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",5000 ~ 10000 만원
